"English"	"OldOrcish"	"ProposedOrcish"
"homecoming"	"freq100-homecoming-05c8b1"	"aele-gurmoguk-gruul"
"homeland"	"freq100-homeland-04053d"	"aef-ash-darguk"
"homeless"	"freq100-homeless-70d235"	"doki-hekruh-dakuru"
"homemade"	"freq100-homemade-eada3e"	"helix-here-dargur"
"homer"	"freq100-homer-2aaab7"	"bibnaki-gori"
"homes"	"freq100-homes-cd6688"	"grow-drath"
"homesick"	"freq100-homesick-50d88b"	"daki-hekur-gashin"
"hometown"	"freq100-hometown-14a78d"	"ardenuk-gor-gashur"
"homework"	"freq100-homework-404355"	"burdock-dakukash-drath"
"homey"	"freq100-homey-e933d7"	"hekur-cab"
"homicidal"	"freq100-homicidal-20f6f6"	"bantin-kaat-khang"
"homicide"	"freq100-homicide-aec042"	"gashu-grukhur-dcd"
"homo"	"freq100-homo-70aafb"	"doki-gori"
"homosexual"	"freq100-homosexual-304bf4"	"bitu-dargi-khalin"
"hon"	"freq100-hon-0c11c4"	"ak-barrow"
"honestly"	"freq100-honestly-cdb011"	"grow-great-brakash"
"honesty"	"freq100-honesty-203e30"	"bantin-dakash-dakku"
"honey-colored"	"ap16-20-honey-colored-6e31d1"	"dok-burzi-hrowk-bruku"
"honeycomb"	"ap31-36-honeycomb-dd0cf4"	"hekfai-bant-khalin"
"honeycomb-like"	"ap31-36-honeycomb-like-663fc9"	"dedi-daki-here-drav"
"honeycombed"	"ap31-36-honeycombed-bcad44"	"gorin-goruk-dedi-gurmoguk"
"honeymoon"	"freq100-honeymoon-1d5890"	"bant-deornoth-ghash"
"hong"	"freq100-hong-9c2364"	"fcd-braki"
"honk"	"freq100-honk-4de18c"	"crossbow-hrowgauk"
"honking"	"freq100-honking-1a7161"	"ashur-drow-drukh"
"honolulu"	"freq100-honolulu-b863d2"	"gor-dornuk-hrowka"
"honor"	"freq100-honor-8ab4ca"	"dwimmer-grodhi"
"honorable"	"freq100-honorable-6c1970"	"dff-bibnaki-evazhun"
"honored"	"ap21-25-honored-56f441"	"dakuri-ka-dcbi"
"honors"	"freq100-honors-3c4ff3"	"brukash-dargur-khali"
"honour"	"freq100-honour-a8e0fe"	"gabh-hrowgai-krub"
"honourable"	"freq100-honourable-80d554"	"dravu-heku-draku"
"honoured"	"freq100-honoured-468928"	"cbd-falstauk-chesire"
"hoo"	"freq100-hoo-2e75a3"	"biti-dugi"
"hood"	"ti-khal-49d"	"bbc-bdci"
"hook"	"ap21-25-hook-064829"	"aeleuk-dakururi"
"hooked"	"ap21-25-hooked-34fb37"	"braki-karn-dakururi"
"hooker"	"freq100-hooker-2f34b7"	"bitin-caves-gurmoguk"
"hookers"	"freq100-hookers-70fc4b"	"doki-karnt-disaster"
"hooking"	"freq100-hooking-b1c53f"	"gentle-gur-dbe"
"hooks"	"ap21-25-hooks-a9fa9f"	"gakh-kar"
"hoop"	"freq100-hoop-dc8d9b"	"hekfa-fentrest"
"hooper"	"freq100-hooper-84f8f8"	"drukhi-kangsin-kobold"
"hoops"	"freq100-hoops-ca6b23"	"grot-draviki"
"hooray"	"freq100-hooray-f81f95"	"hrowku-bitu-gog"
"hoot"	"freq100-hoot-5100ed"	"dakkin-archon"
"hooters"	"freq100-hooters-c6e7ed"	"grodin-hrowku-keep"
"hoover"	"freq100-hoover-41f3e1"	"burz-jorun-issenda"
"hooves"	"ap31-36-hooves-1a1c9d"	"ashur-bit-goth"
"hop"	"freq100-hop-87a0ac"	"dwarf-gentle"
"hoped"	"freq100-hoped-71fc65"	"ik-drath-hekruh"
"hopeful"	"freq100-hopeful-0ad2e0"	"agarici-hekruh-in"
"hopefully"	"ap3-hopeful-0ad-uk"	"ashur-grodin-evazhun"
"hopeless"	"freq100-hopeless-b12b89"	"gentle-brukash-gashash"
"hopes"	"ap21-25-hopes-7d1204"	"dravin-bbc"
"hoping"	"ap4-hop-87a-in"	"banti-dravkui-biti"
"hopper"	"freq100-hopper-392a5b"	"brakur-bruk-dravin"
"hopping"	"freq100-hopping-91d5c8"	"ender-heku-helix"
"hops"	"ap21-25-hops-98e037"	"faf-hrowgai"
"horace"	"freq100-horace-330f5d"	"brakash-bantin-dravkui"
"horizon"	"ap26-30-horizon-4726a1"	"cbdi-braku-grod"
"horizontal"	"ap16-20-horizontal-69b273"	"deornoth-grod-exieuk"
"hormones"	"freq100-hormones-450982"	"caves-ashur-flitin"
"horn"	"ap4-horn-954"	"exieuk-dakukash"
"horn-blower"	"ap21-25-horn-blower-2fece1"	"bitin-ik-issenda"
"horn-blower’s"	"ap21-25-horn-blowers-3e44ea"	"bruku-dakur-karn-grodui"
"horn's"	"ap21-25-horns-f47d22"	"hrowka-efekt"
"hornet's"	"ap26-30-hornets-9db1fa"	"fce-grimuk-korvin"
"hornets"	"ap26-30-hornets-feddc4"	"iku-hrogarai-heku"
"horns"	"freq100-horns-58c70c"	"dakuruk-gurmogi"
"horny"	"freq100-horny-414019"	"burz-dakkin"
"horrible"	"freq100-horrible-a26d8b"	"flindi-dravku-gashin"
"horribly"	"freq100-horribly-e67466"	"heku-dug-dwarfi"
"horrid"	"freq100-horrid-588514"	"dakuruk-exodore-brakkin"
"horrific"	"ap16-20-horrific-750573"	"dragonuk-ash-exieuk"
"horrors"	"ap21-25-horrors-fe7720"	"iku-dwarfi-burzi"
"hors"	"freq100-hors-db5d85"	"hekash-dok"
"horses"	"freq100-horses-a2a52f"	"flindi-goblini-dakkin"
"horseshit"	"freq100-horseshit-d75113"	"gurmog-dca-brakin"
"hose"	"freq100-hose-41d12d"	"burz-hekmoguk"
"hospital"	"freq100-hospital-8afe3c"	"dwimmer-keep-dargu"
"hospitals"	"freq100-hospitals-814c88"	"dravur-dargin-gash"
"hoss"	"freq100-hoss-81e46b"	"dravur-hrowkai"
"host"	"freq100-host-4740ae"	"cbdi-dakkin"
"hostage"	"freq100-hostage-2ae3cf"	"bibnaki-hrowka-hrowgai"
"hostages"	"freq100-hostages-cc12b3"	"grotin-bbc-gruuluk"
"hostess"	"freq100-hostess-161038"	"ash-bantuk-darg"
"hostile"	"ap31-36-hostile-8f383c"	"elf-cee-dargu"
"hostility"	"ap26-30-hostility-a3e550"	"flit-hrowkash-dokur"
"hosting"	"freq100-hosting-58b5c9"	"dakuruk-grodin-here"
"hot"	"ap16-20-hot-7f5d16"	"dravkui-dok"
"hot-breath"	"ap21-25-hot-breath-8943d4"	"dwarfuk-dakukash-hrowkash"
"hotch"	"freq100-hotch-5bc06a"	"dargash-grukhur"
"hotel"	"freq100-hotel-8d53a3"	"ecd-dcd"
"hotels"	"freq100-hotels-5b6c98"	"dargash-dravin-gord"
"hotshot"	"freq100-hotshot-bc8a6e"	"gorin-fcb-elfi"
"hotter"	"ap31-36-hotter-601599"	"dargur-bib-gori"
"hottest"	"freq100-hottest-097092"	"aelves-dravur-giodon"
"hottie"	"freq100-hottie-b64866"	"goblini-dakururi-dwarfi"
"hour"	"shad-hour-9ac"	"falstauk-grukhur"
"hourlgass"	"ap5-hourlgas-6cai"	"falstauk-burdock-cromm"
"hours"	"dakur-biti-714"	"cab-bib-gurmoguk"
"housebroken"	"ap3-housebroke-7a8"	"dravi-falsta-hekur-karn"
"household"	"freq100-household-bbcd62"	"gori-heki-drukhi"
"housekeeper"	"freq100-housekeeper-414360"	"burz-dakukash-drow-gurmogi"
"housekeeping"	"freq100-housekeeping-c26871"	"grimuk-dravash-exarchuk-kur"
"houses"	"freq100-houses-4025eb"	"burdock-brakkin-karnt"
"housewife"	"freq100-housewife-5a73b2"	"darg-drukhi-gruuli"
"housewives"	"freq100-housewives-d14479"	"grukhur-dakur-fcb"
"housing"	"ap16-20-housing-d005d6"	"grukh-ash-hrowku"
"housings"	"ap16-20-housings-b83dd4"	"gor-dak-hrowkash"
"houston"	"freq100-houston-56fe43"	"dakuri-keep-dcf"
"hover"	"ap21-25-hover-7c8b29"	"draviki-fcd"
"hovers"	"ap31-36-hovers-a4335d"	"flitin-cab-dravkui"
"how"	"shad-how-804"	"dravu-dakur"
"howdy"	"freq100-howdy-0f1128"	"arandia-barrow"
"howl"	"freq100-howl-1542ab"	"arhk-dakuk"
"howling"	"freq100-howling-86bce9"	"dugi-grow-kar"
"hp"	"ap3-hp-939"	"exarchuk-forge"
"htmly"	"ap16-20-htmly-25018d"	"bdci-arcturus"
"hub"	"ap26-30-hub-08d335"	"aelfuk-hekruhi"
"huddle"	"freq100-huddle-393d7f"	"brakur-dak-flind"
"hudson"	"freq100-hudson-0f6360"	"arandia-dornuk-drow"
"hue"	"ap21-25-hue-1049f7"	"arandian-darg"
"huffed"	"shad-huf-b75-ash"	"grotin-gabh-ka"
"hug"	"ap21-25-hug-628fec"	"dca-fletragi"
"hugging"	"freq100-hugging-b02e43"	"gashuri-brukur-dcf"
"hugh"	"freq100-hugh-c93f1e"	"groduk-daki"
"hugo"	"freq100-hugo-047872"	"aef-dwarfuk"
"huh"	"ap16-20-huh-e48510"	"hekruhi-exodore"
"hula"	"freq100-hula-2bbfdb"	"bibnakin-grukh"
"hulk"	"freq100-hulk-c00050"	"grak-archon"
"hull"	"freq100-hull-fb4dac"	"hrowkuri-dargu"
"human-like"	"ap31-36-human-like-c23013"	"grimuk-burz-brakin"
"human-sized"	"ap16-20-human-sized-06b992"	"aeleuk-grot-giodon"
"humanity"	"freq100-humanity-1db76b"	"bant-grodui-ecd"
"humanoids"	"ap16-20-humanoids-009c95"	"aae-gashin-gog"
"humble"	"ap26-30-humble-851d3f"	"dug-biti-dbe"
"humid"	"ap4-humid-965"	"exodore-demand"
"humidity"	"ap16-20-humidity-ba3fb0"	"gord-daki-grum"
"humiliate"	"freq100-humiliate-2722a6"	"bibash-brakash-grodui"
"humiliated"	"freq100-humiliated-401dfa"	"burdock-biti-korvin"
"humiliating"	"freq100-humiliating-7f6918"	"dravkui-dravi-brand-grum"
"humiliation"	"freq100-humiliation-d68e35"	"gur-flat-dakuru-grod"
"humility"	"freq100-humility-68c4ab"	"demetra-gruuluk-grow"
"humming"	"ap16-20-humming-9dbae3"	"fce-grotash-ka"
"humor"	"ap5-humor-7a5"	"grodhi-ata"
"humour"	"freq100-humour-5242ef"	"dakku-dakuk-kelnib"
"hump"	"freq100-hump-1db566"	"bant-grodin"
"humping"	"freq100-humping-0b4657"	"agh-dakuru-dravash"
"hums"	"ap16-20-hums-498a47"	"cee-fcb"
"hunch"	"ap26-30-hunch-977ef5"	"fa-elf"
"hunched"	"ap16-20-hunched-86f3ad"	"dugi-jorun-grrtuk"
"hundred"	"shad-hundr-3e2-ash"	"fa-keep-gashi"
"hundreds"	"ap16-20-hundreds-a8677d"	"gabh-drav-flat"
"hungarian"	"freq100-hungarian-4cb5f1"	"cromm-grodin-khal"
"hunger"	"ap16-20-hunger-5baba4"	"dargash-gorin-grodin"
"hungers"	"ap21-25-hungers-2d096f"	"bit-ashur-ender"
"hungry"	"ap21-25-hungry-ca4176"	"grot-dakku-faf"
"hunk"	"freq100-hunk-3c307a"	"brukash-burz"
"hunted"	"shad-hunt-18c-ash"	"hrogarai-flitin-issenda"
"hunter"	"freq100-hunter-e9a63a"	"hekur-gog-dargi"
"hunters"	"freq100-hunters-b673ae"	"goblini-drukhi-grukh"
"hunting"	"ap26-30-hunting-d8e66c"	"gurmogi-hrowkin-efekt"
"hup"	"freq100-hup-7e3578"	"dravku-cbd"
"hurley"	"freq100-hurley-f21cc8"	"hrowgauk-bit-helix"
"hurling"	"ap26-30-hurling-bac7a6"	"gord-gurmogi-grodui"
"hurls"	"ap26-30-hurls-45d640"	"caves-hekui"
"hurrah"	"freq100-hurrah-028331"	"aba-exie-dakuk"
"hurricane"	"freq100-hurricane-3fb312"	"brukur-grodh-braki"
"hurried"	"shad-huri-d66-ash"	"hekruhi-dakururi-kelnib"
"hurry"	"freq100-hurry-f6002c"	"hrowkash-archon"
"hurt"	"ap4-hurt-490"	"aaei-brukur-grrtuk"
"hurting"	"freq100-hurting-2cfa6b"	"bibuk-kar-ecd"
"hurtles"	"ap31-36-hurtles-7280f6"	"dokur-ender-khang"
"hurts"	"freq100-hurts-a6039c"	"flow-ardenuk"
"husband"	"freq100-husband-9fee8f"	"flat-imla-gentle"
"husbands"	"freq100-husbands-1b28cb"	"ata-brakur-hrogar"
"hush"	"freq100-hush-dc8331"	"hekfa-exie"
"hushed"	"ap21-25-hushed-3158ff"	"brak-deornoth-krubi"
"husks"	"ap21-25-husks-4a1215"	"chesire-bbc"
"hustle"	"freq100-hustle-b01928"	"gashuri-bibnaki-chesire"
"hustler"	"freq100-hustler-468f0a"	"cbd-fletragi-bibuk"
"hut"	"freq100-hut-9d0720"	"fce-ashi"
"hutch"	"freq100-hutch-ea7f93"	"helix-elfi"
"hy"	"freq100-hy-02b9fe"	"aba-grot"
"hybrid"	"freq100-hybrid-0deac0"	"akh-hrowkuri-hekmoguk"
"hyde"	"freq100-hyde-e19ef6"	"hekmogi-gashur"
"hydrate"	"ap16-20-hydrate-164ad2"	"ash-dargash-hrowka"
"hydraulic"	"ap21-25-hydraulic-2b0d22"	"bibnakin-bantash-cab"
"hydrogen"	"freq100-hydrogen-e7f90b"	"hekui-kangstuk-bit"
"hygiene"	"freq100-hygiene-51cc6d"	"dakkin-hekfai-elf"
"hypnosis"	"freq100-hypnosis-7d9ba8"	"dravin-gashi-grot"
"hypocrite"	"freq100-hypocrite-857bb5"	"dug-ebb-gurmog"
"hypothetical"	"freq100-hypothetical-8bc7cf"	"eastdale-gurmogi-hrowgai-exarchuk"
"hypothetically"	"freq100-hypothetically-8de9af"	"ecd-hrowkur-grukhur-dravin"
"hysteria"	"freq100-hysteria-361e62"	"brakkin-bitin-drukhi"
"hysterical"	"freq100-hysterical-210f53"	"bantuk-bantin-dragonuk"
"i'd"	"shad-id-682"	"demetra-brakin"
"i’d"	"ap26-30-id-9ec75f"	"fentrest-gurmogi"
"i'll"	"ugh nar-heku"	"bruku-grak"
"i’ll"	"ap21-25-ill-2d232a"	"bdc-brukash-adc"
"I'm"	"Ugh tur"	"drav-issenda"
"i’m"	"ap26-30-im-4bf898"	"colossal-kangsin"
"i've"	"ugh dargash"	"ebb-dragonuk"
"i’ve"	"ap21-25-ive-f309cb"	"hrowk-ashur"
"ibis-headed"	"ap26-30-ibis-headed-69932a"	"deornoth-flitin-cromm"
"ibis-symbol"	"ap26-30-ibis-symbol-b3a906"	"gio-gord-bibi"
"ibis's"	"ap31-36-ibiss-6b3b4b"	"devis-cromm"
"ice"	"ap21-25-ice-4cb0b2"	"cromm-great"
"icebox"	"freq100-icebox-bb2931"	"gori-brand-dakuk"
"iced"	"freq100-iced-feeb4e"	"iku-hush"
"ichor"	"ap21-25-ichor-73c1c0"	"dorn-grum"
"icon"	"ap16-20-icon-c2d4b4"	"gruuluk-grodin-arandia"
"iconography"	"ap3-ikonografi-b36"	"gio-dravi-cee-groduk"
"icons"	"ap31-36-icons-04ce68"	"aef-hekin"
"icy"	"freq100-icy-639350"	"dcbi-flitin"
"id"	"freq100-id-a56145"	"flitu-dokur"
"ideal"	"freq100-ideal-cbc8a8"	"grotash-gurmoguk"
"ideals"	"freq100-ideals-c55e86"	"grodhi-dokash-gabh"
"ideas"	"freq100-ideas-53d8ba"	"dakuk-hekur"
"identical"	"ap16-20-identical-319e2b"	"brak-gashur-crossbow"
"identification"	"freq100-identification-fd3dfa"	"ik-dak-korvin-gakh"
"identified"	"ap16-20-identified-a486fb"	"flitin-fa-krag"
"identify"	"ap16-20-identify-0f780b"	"arandia-dwarfuk-bit"
"identifying"	"ap21-25-identifying-a5bed2"	"flitu-grrtuk-hrowka-brakin"
"identity"	"ap21-25-identity-689f6a"	"demetra-gashuri-ebb"
"idiot"	"freq100-idiot-48fab7"	"cec-kar"
"idiotic"	"freq100-idiotic-35d7d4"	"brakin-hekuk-hrowkash"
"idiots"	"freq100-idiots-50afe4"	"daki-grak-kaag"
"idle"	"freq100-idle-4fb623"	"dakash-grodu"
"idol"	"freq100-idol-e614f6"	"heku-bdci"
"ignite"	"ap16-20-ignite-5b8af9"	"dargash-fcb-koboldi"
"ignited"	"ap26-30-ignited-a37072"	"flit-dravur-exie"
"ignites"	"ap21-25-ignites-10dba5"	"arandian-hrog-grodu"
"igniting"	"ap21-25-igniting-8f2d12"	"elf-bruku-braki"
"ignition"	"freq100-ignition-3fe9a8"	"brukur-hrowkur-grot"
"ignorance"	"freq100-ignorance-f5dfc5"	"hrowkai-hrowga-hekui"
"ignorant"	"freq100-ignorant-3192a0"	"brak-flit-grimuk"
"ignore"	"ap3-ignore-5f0"	"darguk-ata-khaluk"
"ignored"	"freq100-ignored-3514cf"	"brakin-bdci-hrowgai"
"ignores"	"ap3-ignore-5f0i"	"aef-dokash-kar"
"ignoring"	"ap16-20-ignoring-2ea218"	"biti-gio-brand"
"il"	"freq100-il-a0fb90"	"fletragi-karn"
"ill"	"freq100-ill-c426a5"	"grodh-braku"
"illegal"	"freq100-illegal-4e73ff"	"dak-drukhi-krubi"
"illegally"	"freq100-illegally-082731"	"aelfuk-brakuk-dakuk"
"illicit"	"ap26-30-illicit-4b7907"	"colossal-dwimmer-bibnak"
"illness"	"freq100-illness-6f4f1b"	"dokash-dargur-brukin"
"illuminate"	"ap31-36-illuminate-f63a83"	"hrowkash-colossal-flitu"
"illuminated"	"ap21-25-illuminated-fb7da7"	"hrowkuri-efekt-groduk-grak"
"illuminates"	"ap16-20-illuminates-f5e1ee"	"hrowkai-hrowgauk-kelnagak-gashi"
"illuminating"	"ap21-25-illuminating-7f6298"	"dravkui-dorn-gord-helix"
"illumination"	"shad-iluminashu-f49"	"hrowka-flitin-gashur-grow"
"illusions"	"ap16-20-illusions-1a153f"	"ashur-bib-dbe"
"im"	"freq100-im-a898df"	"gabh-gakh"
"image"	"ap26-30-image-6105d6"	"dbe-ash"
"imagery"	"ap31-36-imagery-1e703d"	"bantash-dravur-darguk"
"images"	"ap31-36-images-21b2ee"	"bantuk-grod-kelnagak"
"imaginary"	"freq100-imaginary-d0c4a7"	"grukh-gruuluk-groduk"
"imagination"	"freq100-imagination-ec3d00"	"hrog-dak-barrow-dakukash"
"imagine"	"ap21-25-imagine-7fdd65"	"dravkui-hrogarai-dwarf"
"imagined"	"freq100-imagined-9c7554"	"fcd-dugi-draku"
"imagining"	"freq100-imagining-c83f44"	"grodui-daki-dedi"
"imbecile"	"freq100-imbecile-d6be0c"	"gur-grrtuk-biti"
"imbued"	"ap21-25-imbued-52a068"	"dakku-gentle-dwimmer"
"imitation"	"freq100-imitation-f92132"	"hrowkuk-brakari-dakukash"
"immature"	"freq100-immature-a59085"	"flitu-flind-forge"
"immediately"	"ap21-25-immediately-d978e0"	"gurmoguk-dwarfuk-in-khaluk"
"immigration"	"freq100-immigration-9ecfc6"	"fentrest-hekmog-hekuk-dug"
"imminent"	"ap26-30-imminent-e9323c"	"hekur-burzuk-dargu"
"immoral"	"freq100-immoral-0392a2"	"adc-flit-grodh"
"immortal"	"freq100-immortal-556f9c"	"dakur-dravu-goruk"
"immortality"	"freq100-immortality-6185d0"	"dbe-exodore-hrowgauk-gashu"
"immune"	"ap31-36-immune-808a37"	"dravu-fcb-dakururi"
"impassable"	"ap31-36-impassable-0757be"	"aelf-demetra-hekmog"
"impatience"	"ap26-30-impatience-fa33c2"	"hrowkur-cab-hekruhi"
"impatient"	"freq100-impatient-f13786"	"hrowgai-cec-gabh"
"impending"	"ap31-36-impending-980a00"	"faf-ata-barrow"
"imperative"	"ap31-36-imperative-e7735f"	"hekui-drukhi-dravur"
"impishly"	"ap5-impishly-91f"	"gashu-dok-fletragi"
"implant"	"freq100-implant-c3863e"	"grod-fa-dargur"
"implants"	"freq100-implants-7dd1ae"	"dravin-hekmoguk-grukh"
"implement"	"ap16-20-implement-f9bb81"	"hrowkuk-grotin-flit"
"implied"	"freq100-implied-3b6e78"	"bruk-dravkui-falstauk"
"imply"	"freq100-imply-c3b290"	"grod-grod"
"implying"	"freq100-implying-b5665e"	"goblin-drath-dravu"
"import"	"freq100-import-d942f6"	"gurmoguk-dakuk-khang"
"importance"	"ap31-36-importance-d1ec49"	"grukhur-ik-devis"
"important"	"thrak-fa5"	"braki-gord-gashash"
"importantly"	"ap16-20-importantly-c0f601"	"grak-kaat-bbc-groduk"
"imported"	"freq100-imported-5f5422"	"darguk-dcf-cab"
"impose"	"freq100-impose-0734bf"	"aelf-caves-hekmogi"
"imposing"	"ap3-impo-5dci-in"	"ardenuk-goblini-gorash"
"impossible"	"ap16-20-impossible-1298a6"	"arcturus-gakh-grodui"
"impossibly"	"ap16-20-impossibly-37bddc"	"braku-grrt-iku"
"impostor"	"freq100-impostor-aa77a4"	"gash-dwarfi-grodin"
"impotent"	"freq100-impotent-2b9476"	"bibnakin-flitu-faf"
"impress"	"freq100-impress-b87169"	"gor-drow-eastdale"
"impressed"	"freq100-impressed-9cfb46"	"fcd-karn-demetra"
"impression"	"freq100-impression-00d89c"	"aae-hekur-goruk"
"impressions"	"ap21-25-impressions-c779fa"	"grodu-dwimmer-korvin-dravu"
"impressive"	"freq100-impressive-b98fec"	"gorash-fletragi-karnu"
"imprisoned"	"freq100-imprisoned-ae02e9"	"gashu-arden-kar"
"improve"	"freq100-improve-2b35ed"	"bibnakin-cbd-keep"
"improved"	"ap26-30-improved-e88853"	"hekuk-falsta-dragonuk"
"improvement"	"freq100-improvement-62a4a0"	"dca-goblin-grimuk-korvin"
"improving"	"freq100-improving-019f1a"	"aaei-gashuri-brukash"
"improvise"	"freq100-improvise-3e2d23"	"bruku-bruku-caves"
"impulse"	"freq100-impulse-d49062"	"gruuli-flind-drukhi"
"impulses"	"freq100-impulses-8c9068"	"ebb-flind-dwimmer"
"impulsive"	"freq100-impulsive-c00bf5"	"grak-bae-khaluk"
"inanimate"	"ap26-30-inanimate-8fa981"	"elf-gord-flit"
"inappropriate"	"freq100-inappropriate-ad8a61"	"gashin-fcb-drukh-braki"
"inasmuch"	"shad-inasmukh-b3b"	"gio-grimuk-dravu"
"inc"	"freq100-inc-fa9383"	"hrowkur-flitin"
"incandescent"	"ap21-25-incandescent-bababc"	"gord-grotash-heki-dravkui"
"incapable"	"freq100-incapable-24fdad"	"bdc-karnu-grrtuk"
"incapacitated"	"ap26-30-incapacitated-587919"	"dakuruk-dwimmer-bruk-hekruhur"
"incense"	"ap21-25-incense-656522"	"dcf-draku-cab"
"incentive"	"freq100-incentive-ba6645"	"gord-drath-demand"
"inch"	"ap16-20-inch-1cf6e7"	"bae-kaat"
"inches"	"shad-inkhe-f27i"	"dakuri-grow-ik"
"incident"	"ap26-30-incident-d41918"	"gruuli-bibnaki-brand"
"incidentally"	"freq100-incidentally-10e7ba"	"arandian-hrowku-hekfa-krumash"
"incidents"	"freq100-incidents-a6d176"	"flow-hekmoguk-faf"
"incinerate"	"ap31-36-incinerate-9f74a6"	"flat-dug-grodui"
"incinerated"	"ap21-25-incinerated-844cae"	"drukhi-dargin-grukh-ebb"
"incision"	"freq100-incision-4465f5"	"cab-draku-khaluk"
"inclined"	"ap26-30-inclined-a9382f"	"gakh-cee-dakkin"
"include"	"shad-inklude-c0c"	"grak-hekfa-krubi"
"included"	"shad-inklud-080-ash"	"dravkui-bantin-evazhun"
"includes"	"freq100-includes-9472f2"	"exie-drukh-khalash"
"including"	"ap16-20-including-031af5"	"adc-bibnakin-khaluk"
"income"	"ap4-inkome-00c"	"aae-hekmog-brakkin"
"incoming"	"ap16-20-incoming-3a7470"	"brand-dug-evazhun"
"incompetent"	"freq100-incompetent-ef995d"	"hroguk-gash-dravkui-dakuru"
"incomplete"	"freq100-incomplete-85554b"	"dug-dedi-disaster"
"incontinence"	"shad-inkontinen-019"	"aaei-gabh-dravash-lagash"
"inconvenience"	"freq100-inconvenience-fd7223"	"ik-drukh-caves-krump"
"incorrect"	"freq100-incorrect-203d35"	"bantin-dak-dakuru"
"increased"	"freq100-increased-deb723"	"heki-grodui-caves"
"increases"	"ap26-30-increases-0387dd"	"adc-faf-imla"
"increasing"	"freq100-increasing-771c30"	"drath-bit-dakku"
"incredible"	"freq100-incredible-6bf672"	"devis-kaat-exie"
"incredibly"	"ap16-20-incredibly-f7842e"	"hrowkin-exieuk-daki"
"indeed"	"ap16-20-indeed-d888a3"	"gurmogi-falsta-grodhi"
"indefinitely"	"freq100-indefinitely-c259f2"	"grimuk-depth-khalash-dakukash"
"indentation"	"ap16-20-indentation-446e44"	"cab-dravkui-dedi-gashin"
"independence"	"freq100-independence-fbb633"	"hrowkuri-grodu-dakur-gashin"
"independent"	"freq100-independent-0275fc"	"aba-dugi-krizh-gruul"
"index"	"ap26-30-index-1bc04b"	"ata-grukhur"
"indian"	"freq100-indian-fb9ebf"	"hrowkuri-gashur-hekmogi"
"indiana"	"ap21-25-indiana-381ead"	"brakuk-bitin-grrtuk"
"indians"	"freq100-indians-c8b2c8"	"grodui-grod-helix"
"indicate"	"shad-indikate-493"	"cee-burzuk-hekur"
"indicated"	"shad-indikat-3fa-ash"	"deornoth-gorin-chesire"
"indicates"	"ap21-25-indicates-b4a4d4"	"giodon-goblin-hrowkash"
"indicating"	"ap31-36-indicating-30662c"	"bitu-drath-dak"
"indication"	"freq100-indication-e27f26"	"hekmoguk-elfi-cec"
"indictment"	"freq100-indictment-bec576"	"goruk-gur-faf"
"indisposed"	"shad-indispo-1dfi-ash"	"braki-grow-darg"
"indistinct"	"freq100-indistinct-2baae7"	"bibnakin-gori-kangsin"
"individual"	"ap16-20-individual-da15ca"	"hek-bib-hrog"
"individuals"	"freq100-individuals-195c70"	"ashuk-disaster-evazhun-dok"
"indoors"	"freq100-indoors-eb0343"	"here-ardenuk-dcf"
"indulge"	"freq100-indulge-21feae"	"bantuk-keep-grukh"
"industrial"	"ap16-20-industrial-8ff09c"	"elf-imperial-goruk"
"industry"	"freq100-industry-14d24f"	"ardenuk-hekruh-doku"
"indy"	"freq100-indy-54db7a"	"dakukash-hrog"
"ineffable"	"ap26-30-ineffable-2972f2"	"bibnak-drukh-khalash"
"inert"	"ap16-20-inert-332167"	"brakash-brakari"
"inevitability"	"ap21-25-inevitability-18efe0"	"ashi-imlauk-in-kelpie"
"inevitable"	"freq100-inevitable-d10dd5"	"grukhur-bantash-hrowkin"
"infamous"	"freq100-infamous-7e0c49"	"dravku-bant-devis"
"infant"	"freq100-infant-c81409"	"grodui-bdci-bibnakin"
"infantry"	"freq100-infantry-c83e25"	"grodui-dakash-cbdi"
"infected"	"freq100-infected-c810e7"	"grodui-bantuk-kangsin"
"infection"	"freq100-infection-3f36e4"	"brukur-cbdi-kaag"
"inferior"	"freq100-inferior-d67a02"	"gur-eastdale-bdc"
"infinite"	"ap31-36-infinite-704b7a"	"doki-dargi-fcd"
"infirmary"	"freq100-infirmary-f23eec"	"hrowgauk-dakash-karnu"
"inflated"	"ap31-36-inflated-68679b"	"demetra-drav-goru"
"inflict"	"ap3-inflikt-538"	"dakuk-falstauk-hrowkur"
"inflicted"	"ap21-25-inflicted-857ca9"	"dug-ecd-grotash"
"influenced"	"freq100-influenced-ed5511"	"hrogar-dedi-brakash"
"info"	"ap26-30-info-06271b"	"aeleuk-brakuk"
"inform"	"freq100-inform-ea07dc"	"helix-ashi-iku"
"informant"	"freq100-informant-15aafd"	"arhk-gori-krom"
"informed"	"freq100-informed-6ec14a"	"dok-grum-dff"
"infrared"	"freq100-infrared-bd0f21"	"goru-bantin-burzuk"
"infrastructure"	"ap16-20-infrastructure-9fec08"	"flat-ik-bibnaki-khaluk"
"infused"	"ap31-36-infused-ca97fb"	"grot-gabh-krag"
"ingenious"	"freq100-ingenious-93418b"	"exarchuk-dakku-gashin"
"ingredient"	"freq100-ingredient-d8178a"	"gurmogi-bibi-gashi"
"ingredients"	"ap26-30-ingredients-fabd15"	"hrowkur-grrt-braku-dcbi"
